method,path,name,tags,classification
GET,/story-development/planning/sequence-plans,list_sequence_plans,story-development,dual
GET,/story-development/planning/sequence-plans/{sequence_id},get_sequence_plan,story-development,dual
GET,/story-development/relationships,list_all_relationships,story-development,dual
GET,/story-development/review/decisions,list_review_decisions,story-development,dual
GET,/story-development/review/decisions/{decision_id},get_review_decision,story-development,dual
GET,/story-development/review/findings,list_checker_findings,story-development,dual
GET,/story-development/review/findings/{finding_id},get_checker_finding,story-development,dual
GET,/story-development/review/inspect-links,list_inspect_links,story-development,dual
GET,/story-development/review/inspect-links/{link_id},get_inspect_link,story-development,dual
GET,/story-development/storyboard/cards,list_storyboard_cards,story-development,dual
GET,/story-development/storyboard/cards/{card_id},get_storyboard_card,story-development,dual
GET,/story-development/world-bible,list_world_bible_entries,story-development,dual
GET,/story-development/world-bible/{entry_type}/{title},get_world_bible_entry,story-development,dual
GET,/v1/canon/annotations,list_annotations,canon-customization,canonical_v1
GET,/v1/canon/profiles,list_profiles,canon-customization,canonical_v1
GET,/v1/jobs/{job_id}/attempts,get_attempts,jobs,canonical_v1
GET,/v1/jobs/{job_id}/lineage,get_lineage,jobs,canonical_v1
GET,/v1/jobs/{job_id}/logs,get_logs,jobs,canonical_v1
GET,/v1/jobs/{job_id}/status,get_status,jobs,canonical_v1
GET,/v1/jobs/{job_id}/steps,get_steps,jobs,canonical_v1
GET,/v1/manuscript-assist/runs,list_runs,manuscript-assist,canonical_v1
GET,/v1/manuscript-assist/runs/{assist_id},get_run,manuscript-assist,canonical_v1
GET,/v1/manuscript-assist/runs/{assist_id}/gates,list_gates,manuscript-assist,canonical_v1
GET,/v1/manuscript-assist/suggestions,list_suggestions,manuscript-assist,canonical_v1
GET,/v1/models,get_models,models,canonical_v1
GET,/v1/mythos/entries,list_entries,mythos-library,canonical_v1
GET,/v1/patterns/entries,list_entries,pattern-library,canonical_v1
GET,/v1/role-model-checker/{run_id}/attempts,get_attempts,role-model-checker,canonical_v1
GET,/v1/role-model-checker/{run_id}/lineage,get_lineage,role-model-checker,canonical_v1
GET,/v1/role-model-checker/{run_id}/status,get_status,role-model-checker,canonical_v1
GET,/v1/role-model-checker/{run_id}/steps,get_steps,role-model-checker,canonical_v1
GET,/v1/story-development/arcs/candidates,list_arc_candidates,story-development,canonical_v1
